,Product Name,Product Image Link,Brand,Price,Url
707,Solid Cotton Slim Fit Mens Casual Shirt - Black,https://sslimages.shoppersstop.com/sys-master/images/h65/hbf/17511619526686/S21MFS-11828BLA_BLACK.jpg_230Wx334H,MUFTI,Rs 1649,https://www.shoppersstop.com/mufti-solid-cotton-slim-fit-mens-casual-shirt/p-S21MFS-11828BLA/colorChange/S21MFS-11828BLA_BLACK
708,Mens Round Neck Graphic Print T-Shirt - Sky Blue,https://sslimages.shoppersstop.com/sys-master/images/hfe/h34/14722484961310/206638951_9306.jpg_230Wx334H,OCTAVE,Rs 349,https://www.shoppersstop.com/octave-mens-round-neck-graphic-print-t-shirt/p-206638951/colorChange/206638951_SKY_BLUE
709,Solid Cotton Regular Fit Mens T-Shirt - White,https://sslimages.shoppersstop.com/sys-master/images/ha1/h23/17469821845534/A21KPGRGFK26136_WHITE.jpg_230Wx334H,ALLEN SOLLY, Rs 1299,https://www.shoppersstop.com/allen-solly-solid-cotton-regular-fit-mens-t-shirt/p-A21KPGRGFK26136/colorChange/A21KPGRGFK26136_WHITE
710,Solid Cotton Slim Fit Mens Shirt - Dark Blue,https://sslimages.shoppersstop.com/sys-master/images/h98/h5a/16162613231646/S21509DNMCOREDB_DARK_BLUE.jpg_230Wx334H,LIFE,Rs 899,https://www.shoppersstop.com/life-solid-cotton-slim-fit-mens-shirt/p-S21509DNMCOREDB/colorChange/S21509DNMCOREDB_DARK_BLUE
711,Printed Cotton Regular Fit Mens Shorts - White,https://sslimages.shoppersstop.com/sys-master/images/hf8/h90/16208772726814/S21183KSHORT323_WHITE.jpg_230Wx334H,LIFE,Rs 559,https://www.shoppersstop.com/life-printed-cotton-regular-fit-mens-shorts/p-S21183KSHORT323/colorChange/S21183KSHORT323_WHITE
712,Solid Linen Cotton Slim Fit Mens Shirt - Dark Green,,LIFE,Rs 899,https://www.shoppersstop.com/life-solid-linen-cotton-slim-fit-mens-shirt/p-S21183LIMAN11GN/colorChange/S21183LIMAN11GN_DARK_GREEN
713,Mens 3 Pocket Slub Track Pants - Grey Melange,,VAN HEUSEN, Rs 949,https://www.shoppersstop.com/van-heusen-mens-3-pocket-slub-track-pants/p-205473420/colorChange/205473420_GREY_MELANGE
714,Slim Fit Mens Jeans - Grey,,LOUIS PHILIPPE JEANS,Rs 2209,https://www.shoppersstop.com/louis-philippe-jeans-slim-fit-mens-jeans/p-205440365/colorChange/205440365_GREY
715,Stripes Cotton Fit Mens T-Shirt - Denim,,OCTAVE,Rs 399,https://www.shoppersstop.com/octave-stripes-cotton-fit-mens-t-shirt/p-205411266/colorChange/205411266_DENIM_GREY
716,Mens Solid Briefs - Black,,CALVIN KLEIN UNDERWEAR, Rs 999,https://www.shoppersstop.com/calvin-klein-underwear-mens-solid-briefs/p-206676354/colorChange/206676354_BLACK
717,Washed Cotton Lycra Slim Fit Mens Jeans - Tint,,LIFE,Rs 1399,https://www.shoppersstop.com/life-washed-cotton-lycra-slim-fit-mens-jeans/p-S21509DTROY/colorChange/S21509DTROY_TINT
718,Colour Block Cotton Regular Fit Mens T-Shirt - Black,,LEE, Rs 1799,https://www.shoppersstop.com/lee-colour-block-cotton-regular-fit-mens-t-shirt/p-S21L40441CB02UQ/colorChange/S21L40441CB02UQ_BLACK
719,Solid Cotton Polyester Fleece Slim Fit Mens Sweatshirt - Green,,CRIMSOUNE CLUB, Rs 1399,https://www.shoppersstop.com/crimsoune-club-solid-cotton-polyester-fleece-slim-fit-mens-sweatshirt/p-A20CCLPSS3433OL/colorChange/A20CCLPSS3433OL_GREEN
720,Printed Cotton Slim Fit Mens Shirt - Blue,,MUFTI,Rs 1499,https://www.shoppersstop.com/mufti-printed-cotton-slim-fit-mens-shirt/p-S21MFS-11934BLU/colorChange/S21MFS-11934BLU_BLUE
721,Checks Cotton Slim Fit Mens Casual Shirt - Green,,JACK AND JONES, Rs 2799,https://www.shoppersstop.com/jack-and-jones-checks-cotton-slim-fit-mens-casual-shirt/p-A21JJ221783001/colorChange/A21JJ221783001_GREEN
722,Printed Cotton Blend Regular Fit Mens T-Shirt - Grey Melange,,STOP,Rs 419,https://www.shoppersstop.com/stop-printed-cotton-blend-regular-fit-mens-t-shirt/p-S21187GRAFT508B/colorChange/S21187GRAFT508B_GREY_MELANGE
723,Checks Cotton Mens Boxers - Green,,STOP,Rs 279,https://www.shoppersstop.com/stop-checks-cotton-mens-boxers/p-S21BXR03HRGN/colorChange/S21BXR03HRGN_GREEN
724,Printed Cotton Blend Regular Fit Mens Track Pants - Jade,,ALTLIFE,Rs 839,https://www.shoppersstop.com/altlife-printed-cotton-blend-regular-fit-mens-track-pants/p-S21183TRKAPJ/colorChange/S21183TRKAPJ_JADE
